Timestamp: Dec 6, 2020, 3:05:25 AM
MonetaryIncentive: 0.5
NumberOfClients: 1
NumberOfScooters: 1
NumberOfWorkers: 1
PoiFlag: true
ScooterPriceRate: 0.03
SpaceSize: 150
StaffTravelCost: 0.009
VerboseFlag: false


"tick","Successful Trips Percentage","Average Income","Average Operation Cost","Average Proft","Total Profit"
1000.0,80.0,2.2827189969589803,0.25931543360180626,2.023403563357174,10.11701781678587
2000.0,90.0,1.9195763318141172,0.12965771680090313,1.7899186150132143,17.89918615013214
3000.0,91.66666666666667,2.06185120061779,0.10804809733408594,1.953803103283704,23.445637239404448
